title,news,img-url,category,summery,opinion
Four killed in road mishap in Karachi,"
KARACHI (Dunya News) – Four youngsters were killed when two motorcycles they were riding on hit a car in Defence Area of Karachi on Wednesday, Dunya News reported.
According to eye-witnesses, the youngsters were involved in racing from Aisha Masjid to Qayyumabad when their motorcycles collided with a car, killing four of them on spot.
Police and rescue teams reached the spot and shifted the dead bodies to Jinnah Hospital. The deceased were identified as Muhammad Sami, Muhammad Shahzeb, Mughir and Sarim. According to police, the deceased were residents of Korangi.
 ",https://img.dunyanews.tv/news/2019/August/08-01-19/news_big_images/503127_23587964.jpg,pakistan,"According to eye-witnesses, the youngsters were involved in racing from Aisha Masjid to Qayyumabad when their motorcycles collided with a car, killing four of them on spot.",neutral
Sikh yatrees perform religious rituals at Gurudwara Janam Asthan,"
NANKANA SAHIB (Dunya News) – Indian Sikh yatrees, under the leadership of Sardar Gurmeet Singh, performed their religious rituals at Gurudwara Janam Asthan in Nankana Sahib on Wednesday, Dunya News reported.
A group of 480 Indian Sikh yatrees reached Pakistan on Tuesday via Wagah border to attend inauguration ceremony of the 550th birth anniversary celebrations of Baba Guru Nanak.
Sikh yatrees visited Nankana Sahib on Wednesday where they performed their religious rituals including Akhand Paath, Keerthan, Matha Taiki and Ashnan. Sikh yatrees also visited six other gurudwara in Nankana Sahib.
Tight security arrangements were made by the Government of Pakistan for the visiting Sikh yatrees. Walk-through gates were installed at the entrance of the Gurudwara Janam Asthan while CCTV cameras were used for the monitoring.
Sikh yatrees expressed their satisfaction over the arrangements made for them and thanked the Pakistan government and the board officials.
 ",https://img.dunyanews.tv/news/2019/August/08-01-19/news_big_images/503126_90605366.jpg,pakistan,"
NANKANA SAHIB (Dunya News) – Indian Sikh yatrees, under the leadership of Sardar Gurmeet Singh, performed their religious rituals at Gurudwara Janam Asthan in Nankana Sahib on Wednesday, Dunya News reported.",neutral
Agenda of today's Senate session released,"
ISLAMABAD (Dunya News) – The agenda of today s (Thursday) Senate session has been released. On July 22, President Dr Arif Alvi had summoned the Senate session on August 1 for voting on the no-confidence motions against Chairman Sadiq Sanjrani and Deputy Chairman Saleem Mandviwala.
According to details, the resolutions submitted by the opposition and government are part of agenda for today’s meeting of the upper house of the parliament.
The opposition senators had submitted the no-trust motion against Chairman Sadiq Sanjrani to the Senate Secretariat on July 9. The ruling coalition hit back with a similar motion against the deputy chairman Saleem Mandviwala on July 12.
The opposition requires a total of 53 votes in the 104-mmber house to get the no-trust resolution passed. Given the party position, the opposition should face no difficulty in getting Mr Sanjrani removed from the office as it enjoys the support of 67 members against 36 members on the treasury benches.
 ",https://img.dunyanews.tv/news/2019/August/08-01-19/news_big_images/503122_42942368.jpg,pakistan,"According to details, the resolutions submitted by the opposition and government are part of agenda for today’s meeting of the upper house of the parliament.",neutral
Beauty of Izmis Lake attracts tourists from across country,"
SWAT (Web Desk) – Beautiful Izmis Lake is located to the south-west of Utror valley in Swat district in Khyber Pakhtunkhwa at an altitude of 11,550 feet above sea level.
The name Izmis means caves in Kohistani and as the lake is surrounded by several natural caves, the people have named the lake after these caves. A small jeep-able link road from Utror leads towards the location of the lake which ends in a valley called Loypanrghalay.
The lake can be accessed from here after trekking for almost two hours. The track meanders between sprawling and lush green carpets of grass covered with flowers of different colours and hues.
The grazing cows, lambs and goats make the panoramas more exciting and beautiful. A small hamlet called Kalam Banda is located on these eye-soothing highlands where the grazers welcome everyone in their own special rustic style.
The grazers who go to the pastures mostly belong to Utror valley. The signs of technological advancement can be observed here as the grazers have built a Hydro Power Plant to avail the water and electricity in these awesome heights. The lake lies almost at a distance of one hour from this heavenly locale.
The Lake is surrounded by towering mountains covered with green grasses and herbaceous plants which attract several grazers from the plains in summer.



The eastern and western faces of the lake are open with wide gullies at both ends. The grazers have constructed small stone and earthen structures in the peripheries of the lake which provides the temporary residence during summers.
It also serves as a watershed for a small stream which mingles with River Swat in Utror. The watershed areas of the lake have turned to peat-land/marshes and are an excellent feeding ground for the migratory birds as well as local bird and animal species.
According to the grazers several species of aquatic birds visits the area and feed in the marshes but the local poachers’ poses a grave threat to the survival of these endangered species of birds as they regularly visit the area and ruthlessly hunt-down these birds.



Izmis is a huge lake with shallow depth and little water. Most of the water which feeds the lake comes from the surrounding glaciers and small springs.
Izmis lake shows clear signs of ecological decline which if not timely tackled will result in the extinction of this important source of fresh drinking and irrigation water; and will destroy an important temporary and vital residing ground for the migratory birds.
The lake needs urgent attention from environmentalist due to the natural and human-made threats; otherwise this important lake will become a fragment in the unending annals of history.
 ",https://img.dunyanews.tv/news/2019/August/08-01-19/news_big_images/503120_65811948.jpg,pakistan,"The name Izmis means caves in Kohistani and as the lake is surrounded by several natural caves, the people have named the lake after these caves.",neutral
Govt appoints Tauseef H. Farooqi as chairman NEPRA,"
ISLAMABAD (Dunya News) – Government has appointed Tauseef H. Farooqi as chairman NEPRA with immediate effect, Dunya News reported on Wednesday.
Establishment Division has issued the notification of appointment of Tauseef H. Farooqi as chairman NEPRA
According to details, the Federal Cabinet in its meeting held on July 16, 2019 had approved the appointment of Tauseef H. Farooqi as Chairman Nepra.
 ",https://img.dunyanews.tv/news/2019/August/08-01-19/news_big_images/503119_37564064.jpg,pakistan,"Establishment Division has issued the notification of appointment of Tauseef H. Farooqi as chairman NEPRA
According to details, the Federal Cabinet in its meeting held on July 16, 2019 had approved the appointment of Tauseef H. Farooqi as Chairman Nepra.",neutral
FBR achieves 96 percent target of tax collection in July: Shabbar Zaidi,"
ISLAMABAD (Dunya News) - Chairman Federal Board of Revenue (FBR) Shabbar Zaidi on Wednesday said that the FBR has collected Rs 278 billion in taxes in the month of July, the first month of fiscal year 2019-20, Dunya News reported.
Talking to Dunya News, Shabbar Zaidi said that the government had originally fixed revenue collection target at Rs 291 billion for the first month of fiscal year 2019-20.
He further said that the government has achieved 96 percent target of revenue collection in the month of July.
 ",https://img.dunyanews.tv/news/2019/August/08-01-19/news_big_images/503118_18449383.jpg,pakistan,"Talking to Dunya News, Shabbar Zaidi said that the government had originally fixed revenue collection target at Rs 291 billion for the first month of fiscal year 2019-20.",neutral
"Muridke: Truck, motorcycle collision leaves two brothers dead","
MURIDKE (Dunya News) – Two real brothers were killed when the motorcycle they were riding on was hit by a reckless driven truck near Muridke on Wednesday, Dunya News reported.
The accident occurred at the Grand Trunk Road (GT Road). According to eye-witness, the accident was so severe that both the brothers died on the spot. They further said that the accident occurred due to negligence of the truck driver. The deceased were identified as Irfan and Arsalan.
Police and rescue teams reached the spot after being informed and shifted the dead bodies to Tehsil Headquarters Hospital. According to police, the truck driver managed to escape from the scene after the accident.
 ",https://img.dunyanews.tv/news/2019/August/08-01-19/news_big_images/503117_48305043.jpg,pakistan,"According to police, the truck driver managed to escape from the scene after the accident.",neutral
Saudi information minister calls on COAS Gen Qamar Javed Bajwa,"
RAWALPINDI (Dunya News) – Minister of Media Kingdom of Saudi Arabia (KSA) His Excellency Turki Bin Abdullah Al-Shabanah and Military Advisor to HRH Minister of Defence KSA Major General Talal Abdullah Alotaibi called on Chief of Army Staff (COAS) General Qamar Javed Bajwa at GHQ on Wednesday. 
In a statement issued by the Inter-Services Public Relations (ISPR), KSA s Ambassador to Pakistan His Excellency Nawaf Saeed Al Maliky was also present during the meeting. 
Matters pertaining to regional security situation and mutual interest came under discussion during the meeting. 
On the occasion, the COAS said that both countries have history of defence cooperation which Pakistan greatly values, adding that Pakistan Army stands with Saudi Armed Forces in all fields. 
Gen Bajwa also expressed condolences on the death of HH Prince Bandar Bin Abdul Aziz Al-Saud.",https://img.dunyanews.tv/news/2019/July/07-31-19/news_big_images/503097_70461884.jpg,pakistan,"In a statement issued by the Inter-Services Public Relations (ISPR), KSA s Ambassador to Pakistan His Excellency Nawaf Saeed Al Maliky was also present during the meeting.",neutral
"PM sets example of simplicity, austerity, spends US$67,000 on US visit","
ISLAMABAD (Dunya News) – In yet another example of simplicity and austerity, US$67,180 had been spent on Prime Minister Imran Khan’s US visit.
According to the expense details obtained by Dunya News, the prime minister neither used official airplane nor did he stay at the hotel during his US visit.
PM Imran Khan didn’t even spend anything on his family members during the visit and saved millions from the national exchequer.
On the other hand, former President and Pakistan Peoples’ Party (PPP) co-chairman Asif Zardari during his tenure spent US$7,52,688 on his six days official visit to the US.
Former prime minister and Pakistan Muslim League-Nawaz (PML-N) supremo spent during his tenure spent US$5,49,853 on his six days official visit to the US.",https://img.dunyanews.tv/news/2019/July/07-31-19/news_big_images/503093_50804923.jpg,pakistan,"
ISLAMABAD (Dunya News) – In yet another example of simplicity and austerity, US$67,180 had been spent on Prime Minister Imran Khan’s US visit.",neutral
US renews waivers for Iran civil nuclear projects,"
WASHINGTON (AFP) - The United States said Wednesday it was extending waivers for three civilian nuclear projects in Iran, despite Washington’s withdrawal from the 2015 nuclear agreement.
""This is a short 90 day extension,"" said White House National Security Advisor John Bolton, a champion of the hawkish policy towards Tehran.
""We are watching those nuclear activities very, very closely, they remain under daily scrutiny,"" he told Fox Business.
The projects include the Bushehr nuclear power plant, the Arak heavy water reactor, which has been modified under the supervision of the international community to render it impossible to produce plutonium for military use, and the Fordow fuel enrichment plant.
The State Department downplayed the move, as it did when it last granted an extension in May, describing the waivers as ""continued restrictions on the Iranian regime’s nuclear program"".
""The action today will help preserve oversight of Iran’s civil nuclear program, reduce proliferation risks, constrain Iran’s ability to shorten its ‘breakout time’ to a nuclear weapon, and prevent the regime from reconstituting sites for proliferation-sensitive purposes,"" Secretary of State Mike Pompeo’s spokeswoman Morgan Ortagus said in a statement.
In reality, the move extends exemptions for the three Iranian civil nuclear projects, the State Department confirmed to AFP.
There was debate in President Donald Trump’s administration about these exemptions, with hawks saying that after Washington’s withdrawal from the Iran nuclear deal in 2018, it would have been logical to stop them in order to further increase the pressure on Tehran.
But the more moderate line has prevailed for the moment, so as not to upset the other signatories to the 2015 deal -- China, Russia, Germany, France and Britain -- amid escalating tensions between the US and Iran.
The 2015 agreement promised that world powers would assist Iran in developing civilian nuclear energy -- the clerical regime’s stated goal for its atomic program.
The waiver announcement came as Washington imposed sanctions Wednesday on Iranian Foreign Minister Mohammad Javad Zarif. ",https://img.dunyanews.tv/news/2019/August/08-01-19/news_big_images/503196_66626954.jpg,world,"
WASHINGTON (AFP) - The United States said Wednesday it was extending waivers for three civilian nuclear projects in Iran, despite Washington’s withdrawal from the 2015 nuclear agreement.",neutral
Germany nixes US request to join naval mission off Iran,"
BERLIN (AFP) - Germany poured cold water Wednesday on a US demand it join a maritime surveillance mission in the Strait of Hormuz, arguing that it wants to focus on diplomacy to ease tensions with Iran.
Chancellor Angela Merkel s government was responding to a US demand made public a day earlier ""to help secure"" the world s busiest oil shipping lane and ""combat Iranian aggression"".
Merkel s spokeswoman Ulrike Demmer said Germany was ""reluctant"" to join such a US-led mission and had ""not offered a contribution, as the overall approach of our policy toward Iran differs significantly from the current US approach"".
Berlin was seeking an emphasis on ""diplomacy and de-escalation"", she said, as it also tries to save the Iran nuclear deal from which President Donald Trump withdrew last year.
Demmer said that ""participation in a US-led mission could complicate this issue, even as of course we share the goal of freedom of navigation"".
Foreign Minister Heiko Maas was even more direct, reflecting the position of his centre-left Social Democrats, who are junior coalition partners to Merkel s conservatives.
Germany ""will not participate in the maritime mission proposed and planned by the US,"" said Maas, adding that ""we are in close coordination with our French partners"" on the issue.
Berlin ""considers the US strategy of maximum pressure on Iran to be wrong,"" he said, speaking on a Warsaw visit.
Britain last week ordered its navy to escort UK-flagged ships in the strait in response to Iranian soldiers seizing a tanker in the flashpoint entrance to the Gulf.
Demmer said that Germany remained ""in close coordination with France and Britain"" on questions of maritime security, adding that Berlin believed the idea of a European naval mission was ""worth considering"".
 ",https://img.dunyanews.tv/news/2019/August/08-01-19/news_big_images/503138_83292741.jpg,world,"Demmer said that Germany remained ""in close coordination with France and Britain"" on questions of maritime security, adding that Berlin believed the idea of a European naval mission was ""worth considering"".",neutral
